Orthogroup	arabidopsis	lettuce	maize	medicago	melon	rice	safflower	tobacco	tomato	watermelon
OG0000262	GO:0004672,GO:0005524,GO:0006468,GO:0030246	GO:0004672,GO:0005524,GO:0006468,GO:0030246	GO:0004672,GO:0005524,GO:0006468,GO:0030246	GO:0004672,GO:0005524,GO:0006468,GO:0030246	GO:0004672,GO:0005524,GO:0006468,GO:0030246					
OG0000263										
OG0000264										
OG0000265										
OG0000266				GO:0004601,GO:0006979,GO:0020037	GO:0004601,GO:0006979,GO:0020037			GO:0004601,GO:0006979,GO:0020037		
OG0000267		GO:0003700,GO:0006355	GO:0003700,GO:0006355		GO:0003700,GO:0006355	GO:0003700,GO:0006355		GO:0003700,GO:0006355		GO:0003700,GO:0006355
OG0000268		GO:0003677								
OG0000269						GO:0005737,GO:0006511,GO:0007275				
OG0000270										
OG0000271										
OG0000272										
OG0000273										
OG0000274										
OG0000275										
OG0000276		GO:0004185,GO:0006508	GO:0004185,GO:0006508					GO:0004185,GO:0006508		
OG0000277										
OG0000278										
OG0000279			GO:0003924,GO:0005525					GO:0003924,GO:0005525		
OG0000280		GO:0046872		GO:0046872	GO:0046872					
OG0000281										
OG0000282										
OG0000283										
OG0000284		GO:0006508,GO:0008236								
OG0000285			GO:0006355,GO:0042393			GO:0006355,GO:0042393				
OG0000286		GO:0015276,GO:0016020				GO:0015276,GO:0016020		GO:0015276,GO:0016020		
OG0000287										
OG0000288	GO:0003824,GO:0005992			GO:0003824,GO:0005992	GO:0003824,GO:0005992					
OG0000289										
OG0000290	GO:0004497,GO:0005506,GO:0016705,GO:0020037			GO:0004497,GO:0005506,GO:0016705,GO:0020037						
OG0000291										
OG0000292										
OG0000293										
OG0000294										
OG0000295										
OG0000296										
OG0000297										
OG0000298										
OG0000299										
OG0000300		GO:0006629,GO:0016717						GO:0006629,GO:0016717		GO:0006629,GO:0016717
OG0000301	GO:0003676	GO:0003676				GO:0003676				
OG0000302				GO:0005515						
OG0000303										
OG0000304										
OG0000305										
OG0000306	GO:0004672,GO:0006468,GO:0030247	GO:0004672,GO:0006468,GO:0030247		GO:0004672,GO:0005524,GO:0006468,GO:0030247	GO:0004672,GO:0005524,GO:0006468	GO:0004672,GO:0005524,GO:0006468,GO:0030247		GO:0004672,GO:0005524,GO:0006468,GO:0030247		
OG0000307	GO:0003700,GO:0006355		GO:0003700,GO:0006355	GO:0003700,GO:0006355	GO:0003700,GO:0006355	GO:0003700,GO:0006355		GO:0003700,GO:0006355		GO:0003700,GO:0006355
OG0000308	GO:0000287,GO:0004427,GO:0005737,GO:0006796			GO:0000287,GO:0004427,GO:0005737,GO:0006796	GO:0000287,GO:0004427,GO:0005737,GO:0006796				GO:0000287,GO:0004427,GO:0005737,GO:0006796	
OG0000309								GO:0003676,GO:0006139,GO:0008408		
OG0000310										
OG0000311	GO:0046872	GO:0046872			GO:0046872					
OG0000312		GO:0016020,GO:0022857,GO:0055085								
OG0000313		GO:0004601,GO:0006979,GO:0020037		GO:0004601,GO:0006979,GO:0020037	GO:0004601,GO:0006979,GO:0020037	GO:0004601,GO:0006979,GO:0020037		GO:0004601,GO:0006979,GO:0020037	GO:0004601,GO:0006979,GO:0020037	
OG0000314										
OG0000315										
OG0000316										
OG0000317										
OG0000318										
OG0000319					GO:0016787	GO:0016787				
OG0000320										
OG0000321										
OG0000322						GO:0004553,GO:0005975				
OG0000323										
OG0000324		GO:0006952		GO:0006952						
OG0000325										
OG0000326										
OG0000327										
OG0000328										
OG0000329										
OG0000330					GO:0005524,GO:0016887	GO:0005524,GO:0016887		GO:0005524,GO:0016887	GO:0005524,GO:0016887	
OG0000331										
OG0000332										
OG0000333										
OG0000334										
OG0000335										
OG0000336								GO:0006508,GO:0008236		
OG0000337										
OG0000338										
OG0000339										
OG0000340										
OG0000341										
OG0000342	GO:0005515,GO:0043531			GO:0043531		GO:0005515,GO:0043531				
OG0000343										
OG0000344	GO:0004089,GO:0008270	GO:0004089,GO:0008270		GO:0004089,GO:0008270						
OG0000345										
OG0000346										
OG0000347	GO:0003700,GO:0006355			GO:0003700,GO:0006355	GO:0003700,GO:0006355	GO:0003700,GO:0006355				GO:0003700,GO:0006355
OG0000348		GO:0005515								
OG0000349										
OG0000350										
OG0000351										
OG0000352										
